NumItemsInCart,CartTotalAmount,TimeSpentOnSiteMinutes,HasCouponApplied,IsReturningCustomer,device_encoded,weekday,abandon_label
3,36.84,10.84,0.0,0.0,1,1,0
3,2.4,10.18,0.0,0.0,2,2,1
6,132.75,8.69,0.0,0.0,0,3,1
7,43.38,4.2,0.0,0.0,2,4,1
4,21.93,9.55,0.0,0.0,2,5,1
3,52.54,13.94,0.0,0.0,2,6,1
3,33.0,7.44,0.0,0.0,2,0,0
5,51.73,3.19,0.0,0.0,1,1,1
3,33.02,10.18,0.0,0.0,1,2,1
0,14.52,2.68,0.0,0.0,1,3,1
2,77.72,5.15,0.0,0.0,1,4,1
1,44.16,7.24,0.0,0.0,1,5,1
1,110.82,11.33,0.0,0.0,0,6,0
3,9.12,8.49,0.0,0.0,2,0,1
4,73.64,6.21,0.0,0.0,1,1,1
2,57.5,6.26,0.0,0.0,2,2,1
2,123.64,4.75,0.0,0.0,1,3,1
5,49.28,6.41,0.0,0.0,1,4,1
2,62.3,7.36,0.0,0.0,0,5,1
5,12.25,8.19,0.0,0.0,2,6,1
6,2.02,9.87,0.0,0.0,1,0,0
1,96.21,8.58,0.0,0.0,1,1,1
4,103.41,4.44,0.0,0.0,0,2,1
1,9.96,1.93,0.0,0.0,2,3,1
2,18.58,6.1,0.0,0.0,2,4,0
1,70.51,14.12,0.0,0.0,1,5,1
5,133.16,7.01,0.0,0.0,0,6,0
2,36.61,8.53,0.0,0.0,0,0,1
3,53.88,3.78,0.0,0.0,1,1,1
5,53.87,6.32,0.0,0.0,2,2,1
4,49.08,9.9,0.0,0.0,1,3,0
4,23.2,9.59,0.0,0.0,2,4,1
1,58.43,8.05,0.0,0.0,0,5,1
4,48.72,9.21,0.0,0.0,1,6,1
3,29.13,11.9,0.0,0.0,1,0,1
2,171.12,8.51,0.0,0.0,1,1,1
5,12.73,12.96,0.0,0.0,2,2,1
3,160.83,9.14,0.0,0.0,2,3,1
2,69.77,6.08,0.0,0.0,0,4,0
3,91.19,5.65,0.0,0.0,2,5,1
3,19.2,6.98,0.0,0.0,2,6,1
4,172.42,7.65,0.0,0.0,1,0,1
2,41.37,10.93,0.0,0.0,0,1,1
5,106.62,11.82,0.0,0.0,0,2,1
7,54.9,7.32,0.0,0.0,1,3,1
5,13.71,9.46,0.0,0.0,2,4,1
3,10.99,8.68,0.0,0.0,2,5,1
4,130.45,7.49,0.0,0.0,1,6,1
6,5.32,9.2,0.0,0.0,1,0,1
2,46.16,9.76,0.0,0.0,2,1,1
3,86.19,14.26,0.0,0.0,0,2,1
2,81.59,13.12,0.0,0.0,1,3,1
3,31.03,11.91,0.0,0.0,2,4,1
1,38.68,7.32,0.0,0.0,1,5,1
3,140.81,4.74,0.0,0.0,0,6,1
4,37.92,9.38,0.0,0.0,0,0,0
1,45.21,2.66,0.0,0.0,2,1,1
0,23.43,7.72,0.0,0.0,0,2,1
4,70.09,9.47,0.0,0.0,1,3,1
3,178.75,4.88,0.0,0.0,0,4,1
2,42.21,8.9,0.0,0.0,2,5,0
5,12.29,10.54,0.0,0.0,1,6,0
2,17.58,7.77,0.0,0.0,0,0,1
3,60.15,8.24,0.0,0.0,0,1,1
4,27.68,10.23,0.0,0.0,0,2,1
1,98.71,13.17,0.0,0.0,2,3,1
2,41.77,8.7,0.0,0.0,2,4,1
0,87.51,10.05,0.0,0.0,0,5,1
5,58.75,7.13,0.0,0.0,1,6,1
2,15.8,10.09,0.0,0.0,0,0,0
5,30.46,10.17,0.0,0.0,1,1,1
3,45.28,9.5,0.0,0.0,1,2,1
2,180.46,13.19,0.0,0.0,2,3,1
2,120.69,7.22,0.0,0.0,0,4,1
2,15.37,8.13,0.0,0.0,2,5,1
5,41.5,12.31,0.0,0.0,0,6,1
2,60.34,7.13,0.0,0.0,1,0,1
4,24.79,10.46,0.0,0.0,2,1,0
2,30.47,13.56,0.0,0.0,2,2,1
3,13.96,10.44,0.0,0.0,2,3,1
4,63.94,9.37,0.0,0.0,1,4,1
1,20.92,7.56,0.0,0.0,2,5,1
3,9.42,11.52,0.0,0.0,0,6,0
2,39.61,5.02,0.0,0.0,0,0,1
4,66.38,3.71,0.0,0.0,1,1,1
4,48.65,5.35,0.0,0.0,2,2,1
3,51.5,8.14,0.0,0.0,0,3,0
4,31.41,4.55,0.0,0.0,2,4,1
1,32.27,14.72,0.0,0.0,0,5,0
2,156.4,5.58,0.0,0.0,1,6,0
5,114.92,10.77,0.0,0.0,0,0,1
2,53.86,5.93,0.0,0.0,0,1,0
2,21.2,7.99,0.0,0.0,0,2,0
2,96.73,8.28,0.0,0.0,1,3,1
3,137.39,4.8,0.0,0.0,0,4,1
2,91.31,8.07,0.0,0.0,1,5,1
0,41.8,12.34,0.0,0.0,1,6,0
5,58.98,7.57,0.0,0.0,0,0,0
3,29.56,8.77,0.0,0.0,2,1,0
4,61.39,9.03,0.0,0.0,0,2,1
0,55.16,9.19,0.0,0.0,1,3,0
2,87.65,2.75,0.0,0.0,2,4,1
2,31.75,10.37,0.0,0.0,0,5,0
2,176.51,9.7,0.0,0.0,0,6,1
3,13.25,8.22,0.0,0.0,0,0,1
4,65.72,12.12,0.0,0.0,0,1,0
3,99.57,11.33,0.0,0.0,0,2,0
4,23.68,9.25,0.0,0.0,2,3,0
0,70.72,6.63,0.0,0.0,0,4,1
2,82.34,7.37,0.0,0.0,1,5,1
2,64.38,7.74,0.0,0.0,1,6,1
2,133.71,9.85,0.0,0.0,2,0,1
2,91.45,7.99,0.0,0.0,1,1,0
3,15.86,8.8,0.0,0.0,2,2,1
6,59.45,4.47,0.0,0.0,1,3,1
6,39.66,10.55,0.0,0.0,2,4,1
1,94.67,11.68,0.0,0.0,0,5,0
2,73.68,6.92,0.0,0.0,1,6,1
4,52.1,6.69,0.0,0.0,1,0,0
6,24.46,6.09,0.0,0.0,2,1,1
4,33.06,13.72,0.0,0.0,2,2,1
4,19.93,10.46,0.0,0.0,2,3,0
5,67.27,7.91,0.0,0.0,1,4,1
2,28.46,6.2,0.0,0.0,2,5,0
5,44.98,4.94,0.0,0.0,0,6,1
3,118.96,10.41,0.0,0.0,2,0,1
3,99.71,7.22,0.0,0.0,0,1,0
2,109.46,9.37,0.0,0.0,0,2,1
1,18.08,12.19,0.0,0.0,2,3,1
4,12.03,4.97,0.0,0.0,0,4,1
4,277.41,6.11,0.0,0.0,0,5,1
5,49.79,9.58,0.0,0.0,0,6,1
2,37.45,7.38,0.0,0.0,2,0,1
4,29.22,7.52,0.0,0.0,2,1,1
3,29.51,10.5,0.0,0.0,0,2,0
2,92.9,10.25,0.0,0.0,1,3,1
3,32.41,6.98,0.0,0.0,0,4,1
3,23.22,6.38,0.0,0.0,2,5,1
1,67.67,7.81,0.0,0.0,0,6,1
5,26.76,11.39,0.0,0.0,0,0,1
3,38.51,3.13,0.0,0.0,2,1,1
2,2.18,7.68,0.0,0.0,2,2,1
5,104.1,9.9,0.0,0.0,1,3,0
0,78.49,6.17,0.0,0.0,0,4,1
1,66.33,3.88,0.0,0.0,0,5,1
1,87.97,4.79,0.0,0.0,0,6,1
1,40.03,9.06,0.0,0.0,1,0,1
3,65.87,7.75,0.0,0.0,1,1,1
3,87.49,2.33,0.0,0.0,0,2,1
7,32.14,6.52,0.0,0.0,2,3,0
3,111.73,11.83,0.0,0.0,0,4,1
3,119.89,7.82,0.0,0.0,0,5,1
5,35.47,9.73,0.0,0.0,0,6,1
2,200.02,7.72,0.0,0.0,2,0,1
0,55.83,10.44,0.0,0.0,1,1,1
2,82.6,9.77,0.0,0.0,1,2,1
3,67.23,8.06,0.0,0.0,0,3,1
2,119.55,5.35,0.0,0.0,0,4,1
5,73.93,9.32,0.0,0.0,0,5,1
5,73.31,3.86,0.0,0.0,2,6,1
0,87.99,9.49,0.0,0.0,0,0,0
2,34.78,10.63,0.0,0.0,2,1,0
4,100.34,6.52,0.0,0.0,0,2,1
2,75.9,4.53,0.0,0.0,0,3,0
3,66.68,10.97,0.0,0.0,0,4,1
0,5.31,8.03,0.0,0.0,1,5,0
5,47.91,7.48,0.0,0.0,0,6,1
4,40.55,8.55,0.0,0.0,0,0,1
1,19.75,6.61,0.0,0.0,0,1,1
5,67.83,3.34,0.0,0.0,0,2,1
3,96.08,6.32,0.0,0.0,2,3,1
3,31.27,8.07,0.0,0.0,2,4,0
4,18.24,8.08,0.0,0.0,0,5,1
3,29.34,2.73,0.0,0.0,2,6,1
4,215.39,7.21,0.0,0.0,0,0,0
3,63.03,12.95,0.0,0.0,0,1,1
4,32.95,8.14,0.0,0.0,2,2,1
2,97.43,10.62,0.0,0.0,2,3,0
4,62.42,9.74,0.0,0.0,0,4,0
4,85.74,6.07,0.0,0.0,1,5,1
3,33.63,6.16,0.0,0.0,0,6,0
4,30.32,9.2,0.0,0.0,0,0,1
2,30.2,6.37,0.0,0.0,1,1,0
4,23.12,11.45,0.0,0.0,2,2,0
0,62.93,7.08,0.0,0.0,1,3,1
4,130.65,10.49,0.0,0.0,0,4,0
4,66.58,9.15,0.0,0.0,2,5,1
4,109.35,9.43,0.0,0.0,1,6,1
3,28.39,6.17,0.0,0.0,1,0,1
3,76.47,11.25,0.0,0.0,0,1,1
5,55.95,15.01,0.0,0.0,1,2,1
1,76.9,5.2,0.0,0.0,0,3,0
2,28.84,10.82,0.0,0.0,2,4,1
6,39.86,8.01,0.0,0.0,1,5,1
10,23.23,5.59,0.0,0.0,2,6,1
3,131.52,4.82,0.0,0.0,2,0,1
4,146.14,5.42,0.0,0.0,0,1,1
4,48.13,5.81,0.0,0.0,1,2,1
2,26.93,4.51,0.0,0.0,2,3,1
3,69.2,11.31,0.0,0.0,1,4,0
3,32.06,7.97,0.0,0.0,1,5,1
1,128.46,9.24,0.0,0.0,1,6,0
3,60.43,4.54,0.0,0.0,1,0,0
5,112.95,11.6,0.0,0.0,2,1,0
2,46.3,6.4,0.0,0.0,1,2,1
1,6.75,11.89,0.0,0.0,0,3,1
4,37.32,9.34,0.0,0.0,0,4,1
3,17.3,5.13,0.0,0.0,1,5,0
3,49.92,9.1,0.0,0.0,1,6,0
0,19.15,7.91,0.0,0.0,0,0,1
2,37.87,5.09,0.0,0.0,1,1,0
0,114.24,4.8,0.0,0.0,2,2,1
1,13.27,10.46,0.0,0.0,1,3,0
2,64.73,11.62,0.0,0.0,1,4,1
3,47.5,4.87,0.0,0.0,2,5,0
7,20.23,8.33,0.0,0.0,1,6,0
1,125.73,3.57,0.0,0.0,2,0,0
3,107.4,10.52,0.0,0.0,2,1,1
5,26.87,8.23,0.0,0.0,0,2,1
1,35.52,4.01,0.0,0.0,0,3,1
3,32.63,6.65,0.0,0.0,1,4,1
3,77.99,6.37,0.0,0.0,0,5,0
1,79.3,5.42,0.0,0.0,1,6,1
0,72.44,10.86,0.0,0.0,1,0,1
3,28.2,5.48,0.0,0.0,0,1,1
1,73.06,13.04,0.0,0.0,0,2,1
2,118.52,10.59,0.0,0.0,1,3,1
5,103.16,7.01,0.0,0.0,1,4,1
3,104.34,14.86,0.0,0.0,1,5,1
2,39.45,6.9,0.0,0.0,2,6,0
6,62.51,3.84,0.0,0.0,1,0,1
2,119.43,10.99,0.0,0.0,1,1,1
2,135.35,5.42,0.0,0.0,1,2,1
4,124.02,11.75,0.0,0.0,0,3,1
2,12.29,3.84,0.0,0.0,0,4,1
6,61.42,5.45,0.0,0.0,2,5,0
5,83.15,6.39,0.0,0.0,1,6,0
4,296.26,9.71,0.0,0.0,1,0,1
2,18.66,6.55,0.0,0.0,1,1,1
4,32.75,6.37,0.0,0.0,1,2,0
1,61.74,9.98,0.0,0.0,1,3,1
4,16.11,11.52,0.0,0.0,1,4,1
3,28.77,7.12,0.0,0.0,0,5,1
4,48.68,5.01,0.0,0.0,2,6,1
6,33.02,12.36,0.0,0.0,0,0,0
6,147.43,7.56,0.0,0.0,0,1,1
4,26.68,9.26,0.0,0.0,0,2,0
2,111.95,6.58,0.0,0.0,2,3,1
1,17.06,6.85,0.0,0.0,1,4,1
3,14.37,6.58,0.0,0.0,2,5,1
1,88.29,10.5,0.0,0.0,0,6,1
2,46.88,11.57,0.0,0.0,0,0,1
2,0.51,6.46,0.0,0.0,0,1,1
1,44.6,6.83,0.0,0.0,0,2,0
2,117.05,11.69,0.0,0.0,1,3,1
2,65.48,13.7,0.0,0.0,0,4,1
2,115.48,9.71,0.0,0.0,0,5,1
5,86.01,9.04,0.0,0.0,1,6,0
2,42.69,13.78,0.0,0.0,0,0,0
4,89.65,8.74,0.0,0.0,1,1,1
2,103.8,8.75,0.0,0.0,2,2,1
1,18.77,6.6,0.0,0.0,1,3,1
1,73.92,10.1,0.0,0.0,0,4,1
2,54.26,6.14,0.0,0.0,1,5,1
5,59.13,6.74,0.0,0.0,0,6,0
3,62.71,7.19,0.0,0.0,0,0,1
3,98.51,9.75,0.0,0.0,2,1,1
4,61.36,7.14,0.0,0.0,0,2,1
3,68.88,10.69,0.0,0.0,0,3,1
0,19.03,5.12,0.0,0.0,0,4,1
2,66.89,7.0,0.0,0.0,1,5,1
3,40.36,8.36,0.0,0.0,0,6,0
1,128.92,8.57,0.0,0.0,0,0,1
2,59.16,10.23,0.0,0.0,0,1,1
3,96.37,5.32,0.0,0.0,2,2,1
4,41.04,8.17,0.0,0.0,2,3,0
4,113.09,5.12,0.0,0.0,1,4,1
3,123.01,9.94,0.0,0.0,2,5,1
1,49.01,6.64,0.0,0.0,2,6,1
3,48.8,10.48,0.0,0.0,1,0,1
0,64.81,8.07,0.0,0.0,2,1,1
3,111.12,8.37,0.0,0.0,0,2,1
2,66.92,15.97,0.0,0.0,0,3,1
4,141.05,11.03,0.0,0.0,0,4,0
4,30.87,10.07,0.0,0.0,2,5,1
3,69.4,8.05,0.0,0.0,1,6,1
1,67.09,6.96,0.0,0.0,2,0,1
5,16.98,6.6,0.0,0.0,1,1,1
2,38.35,12.19,0.0,0.0,0,2,0
2,116.4,6.22,0.0,0.0,1,3,1
2,5.75,9.73,0.0,0.0,0,4,1
2,18.94,6.35,0.0,0.0,2,5,1
1,39.83,5.45,0.0,0.0,2,6,1
3,24.81,6.84,0.0,0.0,1,0,0
1,119.38,10.19,0.0,0.0,2,1,1
7,242.68,11.25,0.0,0.0,1,2,1
5,24.25,8.75,0.0,0.0,2,3,1
1,117.96,7.7,0.0,0.0,2,4,1
1,26.02,9.78,0.0,0.0,2,5,0
4,7.49,7.57,0.0,0.0,1,6,1
2,48.38,6.96,0.0,0.0,1,0,1
2,122.79,5.41,0.0,0.0,1,1,1
3,107.23,11.37,0.0,0.0,2,2,0
1,75.98,6.52,0.0,0.0,0,3,0
9,18.18,5.23,0.0,0.0,1,4,1
4,101.62,7.46,0.0,0.0,0,5,0
2,225.69,10.75,0.0,0.0,1,6,1
4,95.35,10.28,0.0,0.0,1,0,0
4,18.28,7.54,0.0,0.0,0,1,0
7,33.03,6.76,0.0,0.0,0,2,1
1,41.29,14.75,0.0,0.0,2,3,1
2,37.53,5.82,0.0,0.0,0,4,0
7,25.25,8.15,0.0,0.0,1,5,1
3,68.56,6.17,0.0,0.0,0,6,0
3,99.26,10.72,0.0,0.0,0,0,0
6,41.5,10.79,0.0,0.0,0,1,1
0,15.03,5.02,0.0,0.0,0,2,0
7,100.2,8.76,0.0,0.0,2,3,0
4,3.12,1.08,0.0,0.0,1,4,1
3,36.64,8.48,0.0,0.0,1,5,1
2,54.92,0.0,0.0,0.0,1,6,1
1,54.07,9.11,0.0,0.0,2,0,1
5,34.85,7.2,0.0,0.0,0,1,0
4,40.48,3.88,0.0,0.0,1,2,1
7,24.68,9.7,0.0,0.0,1,3,1
1,12.84,8.23,0.0,0.0,0,4,0
3,46.4,5.34,0.0,0.0,1,5,0
4,41.84,10.26,0.0,0.0,0,6,0
3,99.87,7.83,0.0,0.0,2,0,1
5,20.76,9.28,0.0,0.0,1,1,1
1,71.72,7.1,0.0,0.0,1,2,1
3,53.75,7.58,0.0,0.0,0,3,0
2,26.23,12.73,0.0,0.0,2,4,1
2,54.88,6.33,0.0,0.0,1,5,1
4,48.84,8.9,0.0,0.0,0,6,1
8,51.17,8.93,0.0,0.0,2,0,0
2,47.27,4.57,0.0,0.0,0,1,1
5,45.33,8.96,0.0,0.0,1,2,1
3,44.34,3.24,0.0,0.0,1,3,0
3,61.23,14.12,0.0,0.0,1,4,1
3,28.48,12.27,0.0,0.0,0,5,1
2,45.69,2.13,0.0,0.0,2,6,1
3,89.46,11.39,0.0,0.0,1,0,1
4,36.53,8.28,0.0,0.0,1,1,0
6,87.71,3.59,0.0,0.0,0,2,1
0,33.36,2.64,0.0,0.0,1,3,0
5,139.58,7.88,0.0,0.0,0,4,0
1,23.4,12.98,0.0,0.0,1,5,1
6,74.43,15.1,0.0,0.0,2,6,1
4,13.3,8.87,0.0,0.0,1,0,0
0,73.82,5.0,0.0,0.0,0,1,1
4,32.16,13.54,0.0,0.0,1,2,1
6,81.99,5.21,0.0,0.0,0,3,1
2,81.8,6.99,0.0,0.0,0,4,1
1,74.2,10.05,0.0,0.0,0,5,0
0,56.91,11.96,0.0,0.0,2,6,1
9,36.05,4.58,0.0,0.0,2,0,0
9,66.52,7.94,0.0,0.0,1,1,1
2,127.13,9.96,0.0,0.0,0,2,1
2,21.06,0.77,0.0,0.0,2,3,0
2,25.53,2.44,0.0,0.0,0,4,1
4,25.44,3.08,0.0,0.0,1,5,1
4,12.03,8.79,0.0,0.0,0,6,1
5,78.12,9.79,0.0,0.0,2,0,1
3,26.87,11.62,0.0,0.0,2,1,1
2,87.64,8.99,0.0,0.0,0,2,0
3,32.8,15.09,0.0,0.0,0,3,1
1,34.17,9.9,0.0,0.0,0,4,1
1,104.09,12.03,0.0,0.0,0,5,1
2,23.87,10.87,0.0,0.0,0,6,1
1,20.45,8.82,0.0,0.0,0,0,1
1,179.94,12.83,0.0,0.0,1,1,1
5,40.59,10.01,0.0,0.0,1,2,0
5,34.06,6.24,0.0,0.0,2,3,0
2,51.85,8.59,0.0,0.0,0,4,0
4,16.01,7.03,0.0,0.0,1,5,1
3,14.67,5.68,0.0,0.0,0,6,0
5,100.8,5.95,0.0,0.0,2,0,1
1,20.1,9.88,0.0,0.0,1,1,0
1,61.63,3.86,0.0,0.0,0,2,1
4,70.3,8.82,0.0,0.0,0,3,1
2,32.89,6.46,0.0,0.0,0,4,1
5,2.6,4.99,0.0,0.0,0,5,1
4,49.2,7.73,0.0,0.0,0,6,1
2,27.92,8.43,0.0,0.0,0,0,1
5,156.74,14.12,0.0,0.0,2,1,1
3,27.1,4.91,0.0,0.0,0,2,1
1,69.95,8.92,0.0,0.0,0,3,1
2,14.68,9.39,0.0,0.0,1,4,1
2,66.15,7.71,0.0,0.0,0,5,1
0,50.14,12.32,0.0,0.0,0,6,1
2,104.8,8.76,0.0,0.0,1,0,1
1,46.77,10.64,0.0,0.0,1,1,1
0,15.52,6.11,0.0,0.0,0,2,1
2,25.7,4.27,0.0,0.0,2,3,0
6,166.07,7.43,0.0,0.0,1,4,1
1,35.46,7.39,0.0,0.0,1,5,0
4,1.64,6.94,0.0,0.0,0,6,1
7,39.83,8.85,0.0,0.0,1,0,1
3,33.2,6.62,0.0,0.0,0,1,0
3,19.37,6.69,0.0,0.0,2,2,1
6,35.74,12.35,0.0,0.0,2,3,0
6,90.79,5.1,0.0,0.0,0,4,1
4,42.91,12.01,0.0,0.0,2,5,1
3,15.82,10.56,0.0,0.0,0,6,1
5,26.01,11.42,0.0,0.0,1,0,0
2,76.91,11.42,0.0,0.0,1,1,0
1,60.71,7.66,0.0,0.0,0,2,0
2,51.06,5.96,0.0,0.0,0,3,1
3,75.55,7.07,0.0,0.0,1,4,0
3,26.4,7.98,0.0,0.0,0,5,1
4,112.58,4.49,0.0,0.0,1,6,1
1,144.96,9.23,0.0,0.0,0,0,1
5,45.37,6.76,0.0,0.0,1,1,1
0,134.92,8.54,0.0,0.0,2,2,1
2,75.11,7.42,0.0,0.0,2,3,1
4,31.6,10.78,0.0,0.0,1,4,1
4,9.89,9.61,0.0,0.0,1,5,0
1,54.83,6.16,0.0,0.0,1,6,0
3,25.2,8.26,0.0,0.0,1,0,1
3,77.82,1.48,0.0,0.0,1,1,1
5,29.99,6.66,0.0,0.0,2,2,1
0,34.22,8.81,0.0,0.0,1,3,1
5,83.76,5.12,0.0,0.0,0,4,0
5,36.95,10.29,0.0,0.0,2,5,1
5,7.96,4.11,0.0,0.0,1,6,1
2,58.95,8.92,0.0,0.0,0,0,1
6,145.39,7.54,0.0,0.0,2,1,1
2,28.51,11.27,0.0,0.0,0,2,1
4,39.01,6.33,0.0,0.0,1,3,1
0,66.11,7.46,0.0,0.0,0,4,1
1,52.26,11.99,0.0,0.0,0,5,1
3,104.91,12.03,0.0,0.0,2,6,0
0,121.58,2.29,0.0,0.0,0,0,0
5,64.98,3.57,0.0,0.0,0,1,0
8,45.11,12.21,0.0,0.0,2,2,1
4,36.77,11.5,0.0,0.0,1,3,0
3,44.87,10.43,0.0,0.0,0,4,1
